,id,communityName,lat,lng
0,1,金地自在城第一街区,31.914178113407512,118.67052774525169
1,2,中航樾府,31.938151699318727,118.80396312367043
2,3,中海国际社区一期,32.0345917270463,118.91787122674381
3,4,珠江路(玄武),31.9184029239203,118.79496270702005
4,5,和府奥园,31.989399837374553,118.72718207715498
5,6,江佑铂庭,32.06838590508947,118.65509099387657
6,7,名嘉佳园小区,31.972053614766235,118.8230511276214
7,8,中海万锦熙岸一期,32.05445202837182,118.63225103730208
8,9,荣盛文承苑,32.243470252848255,118.74885369758319
9,10,锦绣花园,32.063730986119786,118.93975601506955
10,11,绿地国际花都,31.85599945486039,118.60116257004331
11,12,城市之光大厦,31.94575200889024,118.88689352055442
12,13,融创玉兰公馆,32.143177002715554,118.83492897222709
13,14,威尼斯水城第十六街区,32.144431031148955,118.75509530392762
14,15,清河新寓二村,32.047777984672564,118.73607700848422
15,16,百家湖国际花园,31.94161223726425,118.81507767808428
16,17,威尼斯水城第十八街区,32.144431031148955,118.75509530392762
17,18,保利西江月,32.04779833731263,118.66459587464709
18,19,积善新寓丰勤园,32.02989152719233,118.74428823948983
19,20,万科金域蓝湾,31.926784943432903,118.83955614390898
20,21,江南青年城惠山苑,31.911838990032443,118.79245502161265
21,22,华隆新寓一村,32.02214900885256,118.75122702074056
22,23,商城小区,32.11498256398322,118.6892052235846
23,24,保利紫晶山,32.08929704085044,118.91487627617354
24,25,燕升园2园,32.116734862904174,118.86497836950245
25,26,珠泉花园,32.06532508374429,118.64220030980839
26,27,天润城第十六街区南区,32.15565177352291,118.73842113671252
27,28,冠城大通三期竹苑,32.32102907277492,118.82392697549363
28,29,招商花园坊,32.18990807242099,118.71487798658481
29,30,长城新苑,32.26768276311921,118.74119420582181
30,31,雨花新村二村,32.0047696176568,118.77958490874063
31,32,绿城水晶蓝湾,31.94000577774974,118.82700996000386
32,33,南砖新村,32.114607312693686,118.81890949006764
33,34,育才公寓,32.0510511048441,118.73770626518768
34,35,天润城第五街区,32.149752375499176,118.73856136220262
35,36,旭日爱上城第四区北区,32.136163538969015,118.72197711536906
36,37,万科璞悦山,32.07604852042341,118.6058975383864
37,38,栖庭,32.02343777795671,118.74248857423113
38,39,科嘉花园,31.91086151506589,118.79012957813896
39,40,冠城大通蓝郡,32.32293404688715,118.82712530243134
40,41,现代大厦,32.031417345338504,118.78968006606178
41,42,大纱帽巷38号,32.05646279085668,118.79964640637277
42,43,五百新寓,32.11947093187268,118.7948624803794
43,44,金地自在城第二街区,31.91267147533861,118.67333081776502
44,45,晓庄47号小区,32.27733660430819,118.89320815913682
45,46,地和苑,32.114581393690145,118.71239120744154
